d,d_class,rawRRR,RRR
000,constant,19,57
001,two-valued_with_fixed,13,39
002,two-valued_with_fixed,13,39
010,two-valued_with_fixed,13,39
011,two-valued_with_fixed,13,39
012,permutation,9,27
020,two-valued_with_fixed,13,39
021,permutation,9,27
022,two-valued_with_fixed,13,39
100,two-valued_no_fixed,11,33
101,two-valued_no_fixed,11,33
102,permutation,9,27
110,two-valued_with_fixed,13,39
111,constant,19,57
112,two-valued_with_fixed,13,39
120,permutation,9,27
121,two-valued_no_fixed,11,33
122,two-valued_with_fixed,13,39
200,two-valued_no_fixed,11,33
201,permutation,9,27
202,two-valued_with_fixed,13,39
210,permutation,9,27
211,two-valued_with_fixed,13,39
212,two-valued_with_fixed,13,39
220,two-valued_no_fixed,11,33
221,two-valued_no_fixed,11,33
222,constant,19,57
