mode,d,target_raw,target_assoc,solutions,tau_fixed_solutions,nodes,prunes,leaves,seconds,stopped_by_limit,block_patterns
min,100,21,63,2,0,25921,17279,2,1.65952,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
min,101,21,63,2,0,25921,17279,2,1.755805,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
min,120,21,63,6,0,42997,28659,6,2.766016,False,RRR:9;RRS:2;RSR:2;RSS:4;RST:4 x 6
min,121,21,63,2,0,22417,14943,2,1.516782,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
min,200,21,63,2,0,22312,14873,2,1.444449,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
min,201,21,63,6,0,43114,28737,6,2.813466,False,RRR:9;RRS:2;RSR:2;RSS:4;RST:4 x 6
min,220,21,63,2,0,21187,14123,2,1.398501,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
min,221,21,63,2,0,21184,14121,2,1.388043,False,RRR:11;RRS:2;RSR:2;RSS:2;RST:4 x 2
max,000,199,597,2,0,12121,8079,2,0.904493,False,RRR:19;RRS:36;RSR:36;RSS:54;RST:54 x 2
max,111,199,597,2,0,12091,8059,2,0.958345,False,RRR:19;RRS:36;RSR:36;RSS:54;RST:54 x 2
max,222,199,597,2,0,12085,8055,2,1.022094,False,RRR:19;RRS:36;RSR:36;RSS:54;RST:54 x 2
