diagonal_orbit_id,d,diagonal_orbit_size,diagonal_orbit_members,points,distinct_raw_values,min_raw,min_assoc,min_count,max_raw,max_assoc,max_count,mean_raw_fraction,mean_raw,mean_assoc_fraction,mean_assoc,var_raw_fraction,var_raw,var_assoc_fraction,var_assoc,sum_raw,sum_assoc,sum_raw_sq
0,000,1,000,387420489,157,31,93,4,199,597,2,265/3,88.33333333333333,265/1,265.0,3104/27,114.96296296296296,3104/3,1034.6666666666667,34222143195,102666429585,3067494989553
1,001,2,001;020,387420489,149,25,75,1,181,543,2,247/3,82.33333333333333,247/1,247.0,96/1,96.0,864/1,864.0,31897620261,95692860783,2663429768433
2,002,2,002;010,387420489,148,30,90,16,187,561,1,257/3,85.66666666666667,257/1,257.0,968/9,107.55555555555556,968/1,968.0,33189021891,99567065673,2884862101257
3,011,2,011;022,387420489,148,30,90,16,187,561,1,257/3,85.66666666666667,257/1,257.0,968/9,107.55555555555556,968/1,968.0,33189021891,99567065673,2884862101257
4,012,1,012,387420489,138,27,81,4,189,567,1,85/1,85.0,255/1,255.0,8812/81,108.79012345679013,8812/9,979.1111111111111,32930741565,98792224695,2841260555853
5,021,1,021,387420489,137,27,81,22,177,531,1,235/3,78.33333333333333,235/1,235.0,2368/27,87.70370370370371,2368/3,789.3333333333334,30347938305,91043814915,2411233379001
6,100,2,100;200,387420489,144,21,63,2,173,519,1,77/1,77.0,231/1,231.0,6868/81,84.79012345679013,6868/9,763.1111111111111,29831377653,89494132959,2329865510373
7,101,2,101;220,387420489,144,21,63,2,173,519,1,77/1,77.0,231/1,231.0,6868/81,84.79012345679013,6868/9,763.1111111111111,29831377653,89494132959,2329865510373
8,102,2,102;210,387420489,137,27,81,22,177,531,1,235/3,78.33333333333333,235/1,235.0,2368/27,87.70370370370371,2368/3,789.3333333333334,30347938305,91043814915,2411233379001
9,110,2,110;202,387420489,149,25,75,1,181,543,2,247/3,82.33333333333333,247/1,247.0,96/1,96.0,864/1,864.0,31897620261,95692860783,2663429768433
10,111,2,111;222,387420489,157,31,93,4,199,597,2,265/3,88.33333333333333,265/1,265.0,3104/27,114.96296296296296,3104/3,1034.6666666666667,34222143195,102666429585,3067494989553
11,112,2,112;212,387420489,148,30,90,16,187,561,1,257/3,85.66666666666667,257/1,257.0,968/9,107.55555555555556,968/1,968.0,33189021891,99567065673,2884862101257
12,120,2,120;201,387420489,132,21,63,6,171,513,1,75/1,75.0,225/1,225.0,6004/81,74.12345679012346,6004/9,667.1111111111111,29056536675,87169610025,2207957196501
13,121,2,121;221,387420489,144,21,63,2,173,519,1,77/1,77.0,231/1,231.0,6868/81,84.79012345679013,6868/9,763.1111111111111,29831377653,89494132959,2329865510373
14,122,2,122;211,387420489,149,25,75,1,181,543,2,247/3,82.33333333333333,247/1,247.0,96/1,96.0,864/1,864.0,31897620261,95692860783,2663429768433
