target_row,basis_index,triple,class,image_size,word
0,0,000|000|000,global_constant,1,"(L(0, 1)∘(L(0, 0)))∘L(1, 0)"
0,1,011|000|000,row_stay,2,"L(0, 2)∘(L(0, 1))"
0,2,011|111|111,row_stay,2,"L(0, 2)∘(L(0, 1)∘(L(0, 0)))"
0,3,012|222|111,row_stay,3,"L(0, 0)∘(L(0, 0))"
0,4,021|111|222,row_stay,3,"L(0, 0)"
0,5,022|000|000,row_stay,2,"L(0, 1)∘(L(0, 1))"
0,6,100|000|000,row_stay,2,"L(0, 2)∘(L(0, 0))"
0,7,100|111|222,row_stay,3,"L(0, 2)"
0,8,200|000|000,row_stay,2,"L(0, 1)∘(L(0, 0))"
1,0,000|000|000,global_constant,1,"L(1, 0)∘(L(0, 0))"
1,1,000|010|000,row_stay,2,"L(1, 2)∘((L(1, 0))∘L(1, 1))"
1,2,000|101|000,row_stay,2,"L(1, 2)∘(L(1, 0)∘(L(1, 0)))"
1,3,000|101|222,row_stay,3,"L(1, 2)"
1,4,000|121|222,row_stay,3,"L(1, 0)"
1,5,000|210|222,row_stay,3,"L(1, 1)"
1,6,111|010|111,row_stay,2,"L(1, 2)∘(L(1, 0))"
1,7,111|212|111,row_stay,2,"L(1, 0)∘(L(1, 0))"
1,8,222|012|000,row_stay,3,"L(1, 1)∘(L(1, 1))"
2,0,000|000|000,global_constant,1,"L(2, 0)∘(L(0, 0))"
2,1,000|000|002,row_stay,2,"(L(2, 1)∘(L(2, 0)))∘L(2, 2)"
2,2,000|000|220,row_stay,2,"L(2, 1)∘(L(2, 0)∘(L(2, 0)))"
2,3,000|111|102,row_stay,3,"L(2, 2)"
2,4,000|111|220,row_stay,3,"L(2, 1)"
2,5,000|111|221,row_stay,3,"L(2, 0)"
2,6,111|000|012,row_stay,3,"L(2, 2)∘(L(2, 2))"
2,7,111|000|220,row_stay,3,"L(2, 2)∘(L(2, 0))"
2,8,222|222|002,row_stay,2,"L(2, 1)∘(L(2, 0))"
