target_row,U,U_class,a,a_class,normal_form_triple
0,011,rank2_N,0,r,011|111|111
0,011,rank2_N,1,not_r,100|111|111
0,011,rank2_N,2,not_r,100|111|111
0,012,identity,0,r,021|111|222
0,012,identity,1,not_r,200|111|222
0,012,identity,2,not_r,100|111|222
0,021,tau_r,0,r,012|222|111
0,021,tau_r,1,not_r,100|222|111
0,021,tau_r,2,not_r,200|222|111
0,022,rank2_N,0,r,022|222|222
0,022,rank2_N,1,not_r,200|222|222
0,022,rank2_N,2,not_r,200|222|222
0,100,rank2_N,0,r,100|000|000
0,100,rank2_N,1,not_r,011|000|000
0,100,rank2_N,2,not_r,011|000|000
0,200,rank2_N,0,r,200|000|000
0,200,rank2_N,1,not_r,022|000|000
0,200,rank2_N,2,not_r,022|000|000
1,010,rank2_N,0,not_r,000|101|000
1,010,rank2_N,1,r,000|010|000
1,010,rank2_N,2,not_r,000|101|000
1,012,identity,0,not_r,000|121|222
1,012,identity,1,r,000|210|222
1,012,identity,2,not_r,000|101|222
1,101,rank2_N,0,not_r,111|010|111
1,101,rank2_N,1,r,111|101|111
1,101,rank2_N,2,not_r,111|010|111
1,121,rank2_N,0,not_r,111|212|111
1,121,rank2_N,1,r,111|121|111
1,121,rank2_N,2,not_r,111|212|111
1,210,tau_r,0,not_r,222|101|000
1,210,tau_r,1,r,222|012|000
1,210,tau_r,2,not_r,222|121|000
1,212,rank2_N,0,not_r,222|121|222
1,212,rank2_N,1,r,222|212|222
1,212,rank2_N,2,not_r,222|121|222
2,002,rank2_N,0,not_r,000|000|220
2,002,rank2_N,1,not_r,000|000|220
2,002,rank2_N,2,r,000|000|002
2,012,identity,0,not_r,000|111|221
2,012,identity,1,not_r,000|111|220
2,012,identity,2,r,000|111|102
2,102,tau_r,0,not_r,111|000|220
2,102,tau_r,1,not_r,111|000|221
2,102,tau_r,2,r,111|000|012
2,112,rank2_N,0,not_r,111|111|221
2,112,rank2_N,1,not_r,111|111|221
2,112,rank2_N,2,r,111|111|112
2,220,rank2_N,0,not_r,222|222|002
2,220,rank2_N,1,not_r,222|222|002
2,220,rank2_N,2,r,222|222|220
2,221,rank2_N,0,not_r,222|222|112
2,221,rank2_N,1,not_r,222|222|112
2,221,rank2_N,2,r,222|222|221
