check,status,detail
carrier_basis_dim,PASS,k[M] carrier has 9 matrix-unit basis vectors
bracket_formula,PASS,"[Eij,Ekl]=delta_jk Eil - delta_li Ekj for all 81 basis pairs"
center_dim,PASS,center span{I} is one-dimensional and ad_I=0
sl3_dim,PASS,traceless component has dimension 8
gl3_direct_sum,PASS,gl3 = kI direct sum sl3 as vector spaces
sl3_bracket_closed,PASS,"[sl3,sl3] subset sl3"
S3_perm_012,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
S3_perm_021,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
S3_perm_102,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
S3_perm_120,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
S3_perm_201,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
S3_perm_210,PASS,"simultaneous relabeling preserves PAB, bracket, so3, and p"
so3_dim,PASS,so3 is the 3D skew-symmetric traceless sector
p_dim,PASS,p is the 5D symmetric traceless sector
sl3_so_p_direct,PASS,sl3 = so3 direct sum p
cartan_kk,PASS,"[so3,so3] subset so3"
cartan_kp,PASS,"[so3,p] subset p"
cartan_pp,PASS,"[p,p] subset so3"
killing_so3_negative,PASS,Killing form is negative definite on selected so3 basis
killing_p_positive,PASS,Killing form is positive on the displayed p basis block
row_contraction_cross,PASS,"for i!=k, PAB(Eij,Ekl)=Eik=Eij J Ekl^T"
basis_coincidences_count,PASS,PAB product and matrix product coincide on exactly 9 basis pairs
