object,definition,property,value
A5,algebra generated by L_x restricted to kF_0 for x in F_0,dimension,5
basis,ordered basis of A5,basis_order,B1|B2|B3|I|B5
B1,"L_(0,0)|F_0",matrix,1 0 0;0 0 1;0 1 0
B2,"L_(0,1)|F_0",matrix,0 1 1;0 0 0;1 0 0
B3,"L_(0,2)|F_0",matrix,0 1 1;1 0 0;0 0 0
I,identity on kF_0,matrix,1 0 0;0 1 0;0 0 1
B5,B2^2,matrix,1 0 0;0 0 0;0 1 1
center,Z(A5),basis,I
center,Z(A5),dimension,1
Q,B2-B3,matrix,0 0 0;-1 0 0;1 0 0
Q,B2-B3,square,0
Q,B2-B3,action_on_F0,"e->b-a,a->0,b->0"
R,B1+I-2B5,matrix,0 0 0;0 1 1;0 -1 -1
R,B1+I-2B5,square,0
radical,"span{Q,R}",dimension,2
radical,"span{Q,R}",two_sided_ideal,True
radical,"span{Q,R}",square_zero,True
quotient,A5/rad(A5),dimension,3
quotient,A5/rad(A5),isomorphism_type,k^3
quotient,mod radical idempotents,p0,(I-B1)/2
quotient,mod radical idempotents,p1,((I+B1)/2+B2)/2
quotient,mod radical idempotents,p2,((I+B1)/2-B2)/2
operator_boundary,"[L_z|F_0,L_(z*w)|F_0]=0 check",counterexamples_on_F0,20/27
operator_boundary,"[L_z|F_row(z),L_(z*w)|F_row(z)]=0 check",counterexamples_all_fibers,60/81
