raw,assoc,count
21,63,24
22,66,36
23,69,96
24,72,48
25,75,126
26,78,288
27,81,450
28,84,480
29,87,1386
30,90,1476
31,93,2706
32,96,3372
33,99,5262
34,102,8388
35,105,11634
36,108,17976
37,111,25338
38,114,36924
39,117,52386
40,120,75600
41,123,106008
42,126,146928
43,129,206928
44,132,285936
45,135,398337
46,138,549468
47,141,760026
48,144,1049004
49,147,1436610
50,150,1972308
51,153,2678160
52,156,3620664
53,159,4893906
54,162,6548556
55,165,8739069
56,168,11584188
57,171,15329643
58,174,20041128
59,177,26054448
60,180,33624936
61,183,43030839
62,186,54443208
63,189,68263794
64,192,84515664
65,195,103638168
66,198,125592696
67,201,150156153
68,204,177129780
69,207,206386101
70,210,236852028
71,213,268059990
72,216,298806528
73,219,328316196
74,222,355203096
75,225,378844818
76,228,398330424
77,231,412869822
78,234,422200248
79,237,426317976
80,240,424861236
81,243,418884660
82,246,408267852
83,249,393974556
84,252,376365396
85,255,356471142
86,258,334836984
87,261,312350886
88,264,289097340
89,267,266155647
90,270,243401184
91,273,221406327
92,276,200583132
93,279,180854604
94,282,162382656
95,285,145425681
96,288,129572592
97,291,115236783
98,294,102106920
99,297,90289886
100,300,79564440
101,303,70045857
102,306,61418148
103,309,53814315
104,312,46975560
105,315,41001972
106,318,35652888
107,321,30986835
108,324,26867452
109,327,23314956
110,330,20089764
111,333,17313030
112,336,14905020
113,339,12832854
114,342,10963272
115,345,9423501
116,348,8031888
117,351,6880749
118,354,5857164
119,357,5007942
120,360,4245852
121,363,3639651
122,366,3084528
123,369,2639835
124,372,2237136
125,375,1910016
126,378,1601784
127,381,1363473
128,384,1147356
129,387,971835
130,390,807288
131,393,677721
132,396,566616
133,399,473250
134,402,398100
135,405,334035
136,408,272040
137,411,232596
138,414,190764
139,417,158112
140,420,128508
141,423,108372
142,426,84948
143,429,72480
144,432,58632
145,435,48387
146,438,37236
147,441,32109
148,444,23580
149,447,20133
150,450,14640
151,453,13089
152,456,9924
153,459,9141
154,462,6936
155,465,6528
156,468,4596
157,471,4425
158,474,3252
159,477,2832
160,480,2004
161,483,1680
162,486,1284
163,489,945
164,492,900
165,495,852
166,498,588
167,501,426
168,504,144
169,507,270
170,510,156
171,513,305
172,516,132
173,519,210
174,522,84
175,525,210
176,528,36
177,531,111
178,534,36
179,537,51
180,540,12
181,543,36
183,549,84
185,555,18
187,561,21
189,567,7
193,579,12
199,597,6
