mode,canonical_x21,orbit_size_in_solution_set,tau_fixed,d_members,x21_members,assoc,raw,raw_blocks,d_classes
max,022022200202202020222,2,False,111;222,022022200202202020222;110001110011100011111,597,199,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,constant
max,101010010110001001000,2,False,000,101010010110001001000;202020020220002002000,597,199,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,constant
max,112221112211122211111,2,False,111;222,112221112211122211111;122122211212212121222,597,199,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,constant
min,010210010021021021100,2,False,100;200,010210010021021021100;021021021002002102200,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
min,010210010021021021120,2,False,120;201,010210010021021021120;021021021002002102201,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,020020021102102102200,2,False,100;200,020020021102102102200;210210210001021001100,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
min,020020021102102102201,2,False,120;201,020020021102102102201;210210210001021001120,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,021021021102202202120,2,False,120;201,021021021102202202120;210110110021021021201,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,021021021102202202220,2,False,101;220,021021021102202202220;210110110021021021101,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
min,021022022102102102120,2,False,120;201,021022022102102102120;210210210021011011201,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,021022022102102102220,2,False,101;220,021022022102102102220;210210210021011011101,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
min,102102102211211210120,2,False,120;201,102102102211211210120;122102122210210210201,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,102102102211211210121,2,False,121;221,102102102211211210121;122102122210210210221,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
min,102102102212210212201,2,False,120;201,102102102212210212201;112112102210210210120,63,21,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,permutation
min,102102102212210212221,2,False,121;221,102102102212210212221;112112102210210210121,63,21,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,two-valued_no_fixed
